一,二仄三左旦丁刁下上於兀士幹不天王且丘本甘石百
乙,乞函吃屹迄疙挖涵山弓紇訖色龜九了七丁幾匕又久兀夕子小尢己已巳
丁,叮打汀釘歹可仃佇汽盯苧頂何呵坷奇河柯苛一弓次行邱訂酊貯
七,缶它十山佗沱軋缺啕掏淘缽萄搖榣遙陀缸陶瑤
乃,孕仍奶扔秀氖莠透戶乍作妒咋肩怎昨柔柞炸笮誘
九,夷旭仇咦姨胰痍丸友究疚鳩為汍染軌大弓孝弩瘓鄭
了,孑孓亨予承孔弓沒吼妤孜序抒乳杼哼烹投歿股芟疫野慇閻擊
二,三竺仁雲元示完言些奈宗岸芸一佞沅亟仄左旦誇祟票祭禁禦嚴圬污阮
人,什僕仙仕伙伐休仲佃囚八仄欠入久內午夫尺丘矢年隹
兒,允中山扎仙札汕川羌充禿亮乩秈初袂衽袖袍亂裡裸胤忠疝
入,仟件任作伯傀人竹佚佾侏俄倭俾荏化仰乒低俐係趴飛倪疹偏賃僱
八,筏符答叭扒竹篌篠簽籥佾爪人豕亥黎以猴麼仄欠囚
幾,朵冗亢肌凡反夙風伉吭坑抗沆咒杭炕凰及皮鳳冬各汎扳投阬板股芟返
刀,召分叨初刃切份吩岔扮汾券忿招拐沼芬昭枴炤迢
刁,叼長伺帚虐彗司匡侵倀套浸張悵尋脹萇慧一屍屋框婦掃雪筐
力,加脅另叻肋男勰幼劣劫助伽協咖勇茄迦痂荔筋
匕,比旨化切叱它尼仳妣屁庇批沘昆枇毗北此牝佗皂呢妮怩沱花指脂能
十,卉穴安宋什汁戎針七千士丈干廾午卅豐支斗毋古未末早耳
卜,卞僕撲樸釙亡上下六丹文鬥占主立齊亢玄迂迆迅京迪迥迫迨送迷退迴
又,奴廷建叉友反沒夜延怪候隻雙桑及皮冬各吳扳投弩板股芟返侵怒疫庭
三,竺二些仁雲元示完言奈宗岸芸票誇祟祭雲禁禦嚴辰韭佞沅
下,卡斥丐正坼定拆是柝卜一焉沔怔症堤提鈣錠非政歪匙悲隄嫣
丈,仗考孝杖老者宏宥佬姥堵奢屠渚暑楮煮著箸褚
上,此卡齒迂雌柴疵穢卜一言迺逗訾逼些延訃計訕戚慼齜齧
丫,釗鈾鏽中金簾剎釧則鉀鏤小巾六弔父只史由甲共聿串束鬥肅匹四兒公
丸,汍執夕九夷孰弘爹仇外名旭汐舛咦姨胰痍痛勢墊摯熱
凡,汎釩帆梵夕幾弘亢冗外名朵汐肌舛丸反歹多泓
久,灸欠吹坎炊疚癸欽孓之次玖柩砍飛崁畝登歌嶔撳
麼,箋笞鬼乏蒐刃戍竹傀塊愧槐箴簾筏戈公幾匆仞私瑰魁魅魄
也,他地她弛池迆牠拖迤忖快柒悚心木施柴訑筷馳
乞,疙吃屹迄乙紇訖仔你函仍仙侯挖夜人伋侈俑健涵傑像
於,吁圩宇汙余芋迂盂竽五荼途某伍吾紆除木一凍徐訏媒煤
亡,妄忘杗肓忙芒盲氓茫荒玄丐裊罔虻女卜亥巡弦炫畜鉉雍
兀,元光完沅虺岳阮恍洸晃胱軏山一孔北兆此玩梡莞髡
刃,仞紉軔刀鬼韌麼分召叨初傀塊愧槐蒐戍笞箋切份吩岔扮汾券忿招拐沼
勺,勾怡勻惦匍憾心妁杓灼芍怵釣慷慘慵戈忪句旬甸忖均怯昀的鈞愧
千,仟朱舌卑阡段乖垂盾重侏恬括活俾株茱啤埤婢脾痺箄裨銖
叉,釵又太閎奴宏汰肱友反廷沒夜怪建候隻雄雙夕及皮冬弘各吳扳投延弩
口,吐呆句叵回台吉如扣杏品釦巳只右古占石叫另叱叮叩叭叻叨叼吋吆吒
土,圭吉志仕吐杜灶肚壬丑王去冉主裡隹地圯圩寺坍坎壞垃坩坦垠埋堆塊
士,宇十一完佇宗定宣室苧家寅富賓演宜空宸軏軒崇梡淙莞喧傢棕渲嫁暄
夕,多外名舛弘汐侈栘丸凡歹令宛矽爹茗移麥夥銘
大,爻左有灰疝疢因尖艾尢丈太夭天又力凶文九尹父犬右史矢夷
女,如安汝妥姦亡艮奴妃好她奸妁妒妞妙妖妍妓妊妹姑姐姍始妯妳姅姨娃
子,囝仔字好孚李孟存孝孛季享厚俘籽浮孱朵閑孕悖悸脖荸錳
孑,孔孜孤孩孫吼孺了乳菰蓀遜孓閂危亨侯弱互予承沒桅脆弼閏開溺預壽
孓,久了欠坎吹灸炊疚欽闋孑之承閃次亨玖柩癸砍崁畝歌嶔撳
寸,付寺守吋忖村肘咐府侍封峙恃持射時辱尉專痔符尊等對
小,詹亦赤弓金擔澹簷膽簷奕弈瞻蟾贍帟郝赦赫譫
尢,疝尤尬尷拋疣山大疤就嵇魷巳已己兀丈屯太夭巴天又匕文力凶九尹七
屍,匹叵尿己已尺戶力刀刁尹巨乍耳司匝匡匣尼屈居屆屎屏屑展
山,扎兒札仙汕疝已己巳尢兀屯巴匕凶七出乙目岐巖岫炭峭崩崔
川,順圳釧訓馴袖剌甽褸串劓襪中刈爪州刖劃刷蚓釗劃引兒仲沖彿片弗介
工,汞功攻巧貢扛江槓肛釭項佐紅缸虹築訌槓蚩鴻
己,已忌厄氾妃改杞凹卮犯危扼呃卷范尼屈屆紀苑桅倦脆捲圈
已,己忌厄氾妃改杞凹卮犯危扼呃卷范尼屈屆紀苑桅倦脆捲圈
