漢字	同音同調	同音異調	近音同調	近音異調	同部首同筆畫數
一	漪藝屹肄軼刈誼囈迤移縊逸溢夷彝佾沂宜劓醫疫頤噫疑懿鎰毅揖義訑蛇邑億液佚役儀易羿裔姨咦弋蜴壹驛飴弈譯帟翌異益栘臆遺腋亦艾曳咿議詣意伊繹怡貽憶掖浥翳胰圯奕翼抑痍衣依	漪蟻藝屹肄軼刈誼囈迤移縊逸以彝溢佾已夷沂宜劓醫疫頤噫疑乙懿鎰毅揖義訑迆蛇邑億液役佚儀易羿倚裔咦尾弋姨蜴椅壹驛飴弈旖譯帟翌異益偯栘臆遺亦艾腋曳咿議詣意伊繹怡貽憶掖浥翳矣圯胰奕翼抑衣痍依			
乙	尾椅以蟻已矣旖偯迤迆倚	漪藝屹肄軼刈誼囈迤移縊逸彝溢佾夷沂宜劓醫疫頤噫疑懿鎰毅揖義訑蛇邑億液佚役儀易羿裔姨咦弋蜴壹驛飴弈譯帟翌異益栘臆遺亦艾腋曳咿議詣意伊繹怡貽憶掖浥翳圯胰奕一翼抑衣痍依			
丁	睜掙征錚正箏癥猙盯爭釘崢蒸叮怔徵酊仃諍	政掙拯證証正鼎整釘定鄭酊症頂錠幀訂	禎增廳診貞真針楨斟繒臻珍聽砧憎榛偵甄汀曾箴	診縝怎挺贈賑疹震霆梃振亭廷陣婷蜓枕鴆朕艇聽娠鎮停庭	七
七	悽淒柒妻欺戚棲溪萋谿漆慼	歧琪齊琦耆棋騎妻祺豈綺棄磧祁乞啟祇期器祈訖枝迄起錡氣其淇愒旗麒臍畦鰭崎圻杞汽奇岐衹企稽亟泣契憩砌緝	畸姬畿其璣羈肌犄飢癘雞磯乩幾積唧箕幾奇譏激績期屐機嵇跡勣稽蹟基躋嘰居饑	洎棘疾暨忌祭集脊己騎藉芰劑幾記楫瘠覬紀計級極妓冀戢擊寄輯寂給薊及嫉際幾唧麂繼擠急伋薺吉季圾即稷髻霽技汲吃亟既悸躋籍繫岌濟鯽戟驥	丁
乃	迺奶氖奈	耐奈		徠睞癩籟來賴萊瀨	
九	韭赳灸久酒糾玖	究舊啾臼救舅咎疚糾就廄揪鳩柩	朽巧雀悄姣皎僥愀角鵲較勦餃狡腳曉篠繳小鉸攪絞宿剿矯	毬溴囂袖蹺修哮消嬌邱簫肖竅醮蕉峭囚羞秋逍澆俏秀撬跤轎球誚鮫硝銷橇膠脩仇瞧宿傚蛟嗅蕭覺宵橋教蚯梟樵鞘憔酵姣裘驕窖削效笑焦詨龜霄驍泅殼交椒嘐求喬孝咻岫梂丘礁嘯較敲鏽郊譙酋鍬校叫僑臭瀟鞦休鰍繡學翹嚼	
了	暸瞭	寮廖繚叻聊潦寥肋撩療料樂垃遼僚嘹燎瞭勒	鉚柳鈕扭鳥紐忸嬝裊	劉尿留泵琉瀏呢流瘤溜霤妞餾遛拗榴硫陸六牛	
二	貳	兒而邇餌耳爾洱			
人	仁壬兒任	刃衽妊紉稔仞忍軔任荏韌認飪賃	瓤攘仍禳	扔嚷讓攘壤	
兒	仁壬人任	刃衽妊紉稔仞忍軔任荏韌認飪賃	瓤攘仍禳	扔嚷讓攘壤	
入	茹褥辱孺	燸女儒茹嚅濡汝蠕乳如辱孺			
八	叭疤扒巴笆捌吧芭	把跋靶伯吧杷霸耙壩鈸爸罷拔琶灞			
