汉字	同音同调	同音异调	近音同调	近音异调	同部首同笔画数
一	漪艺屹肄轶刈谊呓迤移缢逸溢夷彝佾沂宜劓医疫颐噫疑懿镒毅揖义𫍙蛇邑亿液佚役仪易羿裔姨咦弋蜴壹驿饴弈译帟翌异益栘臆遗腋亦艾曳咿议诣意伊绎怡贻忆掖浥翳胰圯奕翼抑痍衣依	漪蚁艺屹肄轶刈谊呓迤移缢逸以彝溢佾已夷沂宜劓医疫颐噫疑乙懿镒毅揖义𫍙迆蛇邑亿液役佚仪易羿倚裔咦尾弋姨蜴椅壹驿饴弈旖译帟翌异益偯栘臆遗亦艾腋曳咿议诣意伊绎怡贻忆掖浥翳矣圯胰奕翼抑衣痍依			
乙	尾椅以蚁已矣旖偯迤迆倚	漪艺屹肄轶刈谊呓迤移缢逸彝溢佾夷沂宜劓医疫颐噫疑懿镒毅揖义𫍙蛇邑亿液佚役仪易羿裔姨咦弋蜴壹驿饴弈译帟翌异益栘臆遗亦艾腋曳咿议诣意伊绎怡贻忆掖浥翳圯胰奕一翼抑衣痍依			
丁	睁挣征铮正筝症狰盯争钉峥蒸叮怔征酊仃诤	政挣拯证证正鼎整钉定郑酊症顶锭帧订	祯增厅诊贞真针桢斟缯臻珍听砧憎榛侦甄汀曾箴	诊缜怎挺赠赈疹震霆梃振亭廷阵婷蜓枕鸩朕艇听娠镇停庭	七
七	凄凄柒妻欺戚栖溪萋谿漆戚	歧琪齐琦耆棋骑妻祺岂绮弃碛祁乞启祇期器祈讫枝迄起锜气其淇愒旗麒脐畦鳍崎圻杞汽奇岐衹企稽亟泣契憩砌缉	畸姬畿其玑羁肌犄饥疠鸡矶乩几积唧箕几奇讥激绩期屐机嵇迹𪟝稽迹基跻叽居饥	洎棘疾暨忌祭集脊己骑藉芰剂几记楫瘠觊纪计级极妓冀戢击寄辑寂给蓟及嫉际几唧麂继挤急伋荠吉季圾即稷髻霁技汲吃亟既悸跻籍系岌济鲫戟骥	丁
乃	迺奶氖奈	耐奈		徕睐癞籁来赖莱濑	
九	韭赳灸久酒纠玖	究旧啾臼救舅咎疚纠就厩揪鸠柩	朽巧雀悄姣皎侥愀角鹊较勦饺狡脚晓筿缴小铰搅绞宿剿矫	毬溴嚣袖跷修哮消娇邱箫肖窍醮蕉峭囚羞秋逍浇俏秀撬跤轿球诮鲛硝销橇胶修仇瞧宿傚蛟嗅萧觉宵桥教蚯枭樵鞘憔酵姣裘骄窖削效笑焦詨龟霄骁泅壳交椒嘐求乔孝咻岫梂丘礁啸较敲锈郊谯酋锹校叫侨臭潇秋休鳅绣学翘嚼	
了	暸瞭	寮廖缭叻聊潦寥肋撩疗料乐垃辽僚嘹燎瞭勒	铆柳钮扭鸟纽忸嬝袅	刘尿留泵琉浏呢流瘤溜霤妞馏遛拗榴硫陆六牛	
二	贰	儿而迩饵耳尔洱			
人	仁壬儿任	刃衽妊纫稔仞忍轫任荏韧认饪赁	瓤攘仍禳	扔嚷让攘壤	
儿	仁壬人任	刃衽妊纫稔仞忍轫任荏韧认饪赁	瓤攘仍禳	扔嚷让攘壤	
入	茹褥辱孺	燸女儒茹嚅濡汝蠕乳如辱孺			
八	叭疤扒巴笆捌吧芭	把跋靶伯吧杷霸耙坝钹爸罢拔琶灞			
