#汉字	同音同调	同音异调
一	壹	漪
乙	已	亿艺忆
丁	盯叮	政正整钉锭鼎定郑症证厅挣拯顶订
七	戚漆栖凄溪欺柒妻	泣迄畦稽脐只鳍气奇砌契企祈骑枝启旗歧起器乞棋弃汽齐其崎岂期
乃	奶奈	耐
九	久酒纠玖	就舅揪鸠臼旧救疚究
了	辽
二	贰	尔耳饵而儿
人	仁儿任	赁认韧纫忍刃
儿	尔而二耳
入	褥辱	女蠕如乳儒
八	巴扒捌笆芭疤吧叭	爸靶霸把伯耙罢拔跋坝
几	激绩叽稽给居脊唧机迹基饥箕奇济挤积肌其畸己鸡期讥	纪妓即籍荠吃棘借急记嫉既鲫级集寂及继寄冀吉骑际辑祭季剂击系计技忌圾极疾
刀	叨	道悼到稻盗倒岛导祷蹈捣
刁	雕叼碉	钓掉吊调
力	立吏砾雳丽痢隶沥粒励厉荔历莉例俐利栗	李离礼犁厘理哩黎篱狸梨漓璃里鲤
匕	彼笔比鄙	逼庇壁毙碧璧臂毕闭鼻弊币必避蔽泌辟
十	硕实提食什时石蚀拾射	拭匙势室施屎使柿侍驶饰誓狮氏诗恃示式史事释适嗜尸失逝是虱士市世矢试视识始师湿
卜	捕补哺	埠步不怖部布簿
又	佑诱有幼右	忧幽尤悠犹游由邮友油优
三	参	散伞
下	暇厦夏吓	虾狭洽匣挟峡侠瞎霞斜辖
丈	涨长帐胀杖仗账障	彰掌樟张章
上	赏尚晌	伤商裳汤
丸	玩完顽	万腕碗娩宛豌惋湾婉晚弯挽
凡	樊烦帆繁矾	返范犯泛番饭翻反贩
久	九酒韭灸纠玖	就舅揪鸠臼旧救疚究
么	夭哟腰吆要邀妖	侥摇耀药淆舀遥肴谣乐咬钥拗窑姚
也	野冶	页咽爷夜业椰叶射谒
乞	起岂启稽	泣迄戚漆畦脐妻七只鳍气奇砌契凄企祈骑枝旗栖欺歧柒器棋弃汽齐其溪崎期
于	逾予愉渔娱鱼榆舆隅愚	屿愈浴淤狱与豫遇羽语谷喻域裕雨玉尉育誉寓欲御迂郁预吁芋宇
亡	蜈王无芜巫诬梧吴	旺于务伍雾望乌午网忘妄舞勿武五呜污枉悟屋恶往晤误物坞捂侮鹉汪
刃	赁认韧纫任	仁人儿忍
勺	蟀硕帅烁数率芍	稍捎少说梢烧绍召哨
千	嵌迁牵纤签谦铅	干浅潜欠黔谴前钱钳遣歉
叉	插喳差	刹察岔查茶
口		寇扣
土	吐	秃凸徒兔涂图突屠途
士	拭势逝室是使柿侍市世饰适誓试氏视恃示式识事释嗜	提匙施时屎驶拾狮实诗食什石十史射尸失硕虱蚀矢始师湿
夕	戏细隙系	悉膝熙厘习畦息栖吸惜洗携晰熄析锡席行徙袭媳西喜牺昔犀稀嬉希溪蟋
大	贷戴袋带代待逮怠	答搭达呆歹瘩打
女	乳辱	蠕入如褥儒
子	仔滓籽紫	资滋自字姿吱咨
寸		村存
小	晓	哮肖削宵笑硝校萧消啸嚣孝箫销酵效学
尸	狮失诗施虱师湿	拭提匙势室时屎使柿侍驶拾饰誓氏实食恃什示石十式史事射释适嗜硕逝是市士蚀世矢试视识始
山	衫杉删珊扇	闪陕善单赡擅膳
川	穿	传喘船串
工	宫弓共攻蚣躬公供恭功红	拱汞巩贡矿
己	给济挤脊几	纪妓叽即稽籍荠吃棘唧借记急嫉迹既鲫基集级寂及饥箕继奇积寄畸冀吉骑讥际激绩辑居祭机季剂击系计技忌圾肌其鸡期极疾
已	尾椅乙蚁矣以倚	夷疑医艺肄意抑仪伊疫异漪忆翼衣益奕液毅屹艾一依议谊腋邑逸掖亦义溢遗移役易姨胰宜揖亿译绎蛇壹
巾	津金斤禁浸今筋襟	进尽锦紧劲仅谨近晋
干	肝竿杆甘柑	感赶敢秆橄
弓	宫共攻蚣躬工公供恭功红	拱汞巩贡矿
才	财材裁	菜采踩猜彩睬
丑		臭稠绸畴筹愁仇抽酬
丐	溉概盖钙	该改
不	埠步怖部布簿	捕补哺卜
中	种忠盅众衷重终钟仲	肿
丰	疯峰风封枫锋讽蜂	奉凤缝逢冯
丹	单耽担	弹淡胆石氮蛋旦但诞
之	只氏芝枝肢知织蜘支吱脂汁	址植治致制直窒掷征帜执稚志智挚值止纸趾职至秩置滞殖指识旨质
予	逾雨屿愉于榆鱼愚羽渔娱与舆隅语宇	愈浴淤狱豫遇谷喻域裕玉尉育誉寓欲御迂郁预吁芋
云	耘匀	晕酝陨允孕运蕴韵员
井	颈警景阱	兢惊径境竞荆茎靖京竟镜鲸经精睛静净劲敬更晶
互	户沪护	壶许呼狐戏唬乎胡葫虎忽糊蝴弧湖
五	舞伍捂侮午鹉武	无于务雾巫诬乌吴勿梧呜污芜悟亡屋恶蜈晤误物坞
仁	儿人任	赁认韧纫忍刃
什	提甚实舌食时硕石十蚀蛇拾射	拭匙势室施屎使柿侍驶饰涉誓狮氏诗恃示奢式史事赦释嗜适尸失逝是虱士舍市叶世赊摄试矢设社视识始师湿
仆	铺扑	瀑菩葡朴浦谱暴蒲圃普脯
仇	稠囚绸畴筹求愁球酬	臭蚯丑丘龟秋抽
仍		扔
今	津金斤巾禁浸筋襟	进尽锦紧劲仅谨近晋
介	届界解借诫戒芥	接节杰竭截揭阶皆街劫捷姊结洁姐
元	猿源辕原援缘园袁员圆	远宛渊愿怨冤鸳院
允	陨	晕酝孕云运蕴韵耘匀员
内		哪馁
六	溜馏陆	刘铆流榴硫留瘤柳泵琉
公	宫弓共攻蚣躬工供恭功红	拱汞巩贡矿
冗	茸	溶荣绒蓉榕熔容融
凶	兄匈胸汹	雄熊
分	愤芬粪奋份忿吩纷氛	粉焚坟
切	窃怯契	且茄
匀	云耘	晕酝陨允孕运蕴韵员
勾	沟钩句	苟垢购狗构够
勿	务晤雾物坞误悟恶	无于伍巫诬午乌吴舞梧武五呜污芜亡屋蜈捂侮鹉
化	划画桦话华	豁花滑猾哗
匹	否霹批被坏劈披	屁脾罢啤疲譬皮僻辟
午	武舞伍捂侮鹉五	无于务雾巫诬乌吴勿梧呜污芜悟亡屋恶蜈晤误物坞
升	生牲胜笙甥声	乘绳剩圣盛省
友	有	佑幽由犹悠又油诱优忧尤游邮幼右
及	辑即籍吃棘脊唧借急嫉击级寂集圾吉极疾	纪叽妓稽给荠记几迹既鲫基饥箕继奇济挤积寄畸冀骑讥际激绩居祭机季剂系计技忌肌其己鸡期
反	返	樊范犯烦繁帆番饭凡泛翻矾贩
天	添	舔恬填甜田
夫	敷芙辐蝠缚肤符麸伏拂福幅服俘孵袱扶	妇赴腹付脯附赋斧父负甫傅咐抚俯府辅富复腐副
太	态汰泰	台抬胎苔
