# 笔划字典，万：笔划是横(h),折(z),撇(p),组合起来是hzp
一	h
丁	hs
七	hz
万	hzp
丈	hpn
三	hhh
上	shh
下	hsn
不	hpsn
与	hzh
丐	hshz
丑	zshh
专	hhzn
且	szhhh
丕	hpsnh
世	hsshz
亻	ps
丘	pshsh
丙	hszpn
业	ssnph
丛	pnpnh
东	hzspn
丝	zzzzh
丞	zszpnh
丟	hhshzn
丢	phshzn
两	hszpnpn
严	hssnphp
丧	hsnphzpn
丨	s
中	szhs
丰	hhhs
串	szhszhs
临	ssphnszsh
丸	pzn
丹	pznh
言	nhhhszh
为	npzn
主	nhhsh
丽	hsznszn
举	nnphpnhhs
乃	zp
久	pzn
么	pzn
义	npn
之	nzn
乌	pzzh
乍	phshh
乎	pnphs
乏	pnzn
乐	pzspn
乒	pshshp
乓	pshshn
乔	phpnps
乖	phsshhpz
乘	phsshhpzpn
乙	z
九	pz
乞	phz
也	zsz
习	znh
乡	zzp
书	zzsn
乩	shszhz
买	znnhpn
乱	phsszhz
乲	nhpzpnz
乳	pnnpzshz
了	zs
予	znzs
争	pzzhhs
事	hszhzhhs
二	hh
于	hhs
亏	hhz
云	hhzn
互	hzzh
五	hszh
井	hhps
亘	hszhhh
亚	hssnph
些	shshpzhh
亟	zsszhznh
亡	nhz
亢	nhpz
交	nhpnpn
亥	nhzppn
亦	nhpspn
产	nhnphp
亨	nhszhzs
亩	nhszhsh
享	nhszhzsh
京	nhszhspn
亭	nhszhnzhs
亮	nhszhnzpz
亲	nhnphhspn
亵	nhhshpznpzpn
人	pn
亿	psz
什	pshs
仁	pshh
仃	pshs
仄	hppn
仅	pszn
仆	pssn
仇	pspz
仉	pspz
今	pnnz
介	pnps
仍	pszp
从	pnpn
仏	pszn
仑	pnpz
仓	pnzz
仔	pszsh
仕	pshsh
他	pszsz
仗	pshpn
付	pshsn
仙	psszs
仞	pszpn
仟	psphs
仠	pshhs
仡	psphz
仢	pspzn
代	pshzn
令	pnnzn
以	znpn
仨	pshhh
仩	psshh
仪	psnpn
们	psnsz
仭	pszpn
仰	pspzzs
仱	pspnnz
仲	psszhs
仵	psphhs
件	psphhs
价	pspnps
任	psphsh
份	pspnzp
仿	psnhzp
企	pnshsh
伃	psznzs
伇	pspzzn
伉	psnhpz
伊	pszhhp
伌	pshpzz
伍	pshszh
伎	pshszn
伏	pshpnn
伐	pshzpn
休	pshspn
伕	pshhpn
众	pnpnpn
优	pshpzn
伙	psnppn
会	pnhhzn
伛	pshpnz
伝	pshhzn
伞	pnnphs
伟	pshhzs
传	pshhzn
伢	pshzsp
伤	psphzp
伥	psphzn
伦	pspnpz
伧	pspnzz
伪	psnpzn
伫	psnnzh
伬	pszhpn
伯	pspszhh
估	pshsszh
伴	psnphhs
伸	psszhhs
伺	pszhszh
似	psznpn
伽	pszpszh
佃	psszhsh
但	psszhhh
位	psnhnph
低	pspzhzn
住	psnhhsh
佐	pshphsh
佑	pshpszh
佒	psszhpn
体	pshspnh
佔	psshszh
何	pshszhs
佖	psnznpn
佗	psnnzpz
佘	pnhhspn
余	pnhhspn
佚	psphhpn
佛	pszhzps
作	psphshh
佝	pspzszh
佞	pshhzph
佟	pspznnn
你	pspzspn
佢	pshzhz
佣	pspzhhs
佤	pshzzn
佥	pnhnnph
佦	pshpszh
佧	psshhsn
佨	pspzzhz
佩	pspzhszs
佪	psszszhh
佫	pspznszh
佬	pshshppz
佭	pspznhzs
佮	pspnhszh
佯	psnphhhs
佰	pshpszhh
佲	pspznszh
佳	pshshhsh
佴	pshsshhh
併	psnphhps
佶	pshshszh
佷	pszhhzpn
佸	psphsszh
佹	pspzhpzz
佺	pspnhhsh
佻	pspnhzpn
佼	psnhpnpn
使	pshszhpn
侀	pshhpsss
侁	psphshpz
侃	psszhpsz
侄	pshznhsh
來	hpnpnspn
侇	pshzhzpn
侈	pspznpzn
侉	pshpnhhz
侊	pssnphpz
例	pshpznss
侍	pshshhsn
侎	psnphspn
侏	psphhspn
侐	pspszssh
侒	psnnzzph
侓	pszhhhhs
侖	pnhszhss
侗	psszhszh
侘	psnnzphz
侙	pshhshzn
侚	pspzszhh
供	pshsshpn
依	psnhpzpn
侞	pszphszh
侠	pshnphpn
侣	psszhszh
侤	pshshphz
侥	pshzphpz
侦	psshszpn
侧	psszpnss
侨	psphpnps
侩	pspnhhzn
侪	psnhpnps
侫	psnhzzph
侬	psnzpzpn
侭	pszhpnnn
侮	psphzznhn
侯	pszhphhpn
侰	pszhhpszh
侱	psszhhhsh
侲	pshphhzpn
侳	pspnpnhsh
侵	pszhhnzzn
侶	psszhpszh
侷	pszhpzszh
侸	pshszhnph
侹	psphshzn
侺	psszspnnz
侻	psnpszhpz
侼	pshsnzzsh
便	pshszhhpn
俀	pspnnpzph
促	psszhshpn
俄	psphshzpn
俅	pshsnhpnn
俆	pspnhhspn
俇	pspzphhsh
俈	psphshszh
俉	pshszhszh
俊	psznpnpzn
俋	psszhzshz
俌	pshszhhsn
俍	psnzhhzpn
俎	pnpnszhhh
俏	pssnpszhh
俐	psphspnss
俑	psznszhhs
俒	psnnzhhpz
俗	pspnpnszh
俘	pspnnpzsh
俙	pspnhpszh
俚	psszhhshh
俛	pspzszhpz
保	psszhhspn
俞	pnhszhhss
俟	psznphhpn
俠	pshpnpnpn
信	psnhhhszh
俢	pspznppp
俣	psszhhhpn
俤	psnpzhzsp
俥	pshszhhhs
俦	pshhhphsn
俧	pshshnznn
俨	pshssnphp
俩	pshszpnpn
俪	pshsznszn
俫	pshnphspn
俬	psphspnzn
俭	pspnhnnph
修	psspznppp
俯	psnhppshsn
俱	psszhhhhpn
俳	psshhhshhh
俵	pshhshpzpn
俶	psshhspnzn
俷	pspzhhzshz
俸	pshhhpnhhs
俺	pshpnszhhz
俽	pspphspzpn
俾	pspszhhphs
俿	psshzphzpz
倀	pshshhhzpn
倃	pspznsnszh
倄	pspnhpszhh
倅	psnhpnpnhs
倆	pshszspnpn
倇	psnnzpznzz
倈	pshpnpnspn
個	psszhsszhh
倌	psnnzszhzh
倍	psnhnphszh
倎	psszhsshpn
倏	psspznhpnn
倐	psspznnppn
們	psszhhszhh
倒	pshznhshss
倓	psnppnnppn
倔	pszhpzsszs
倕	psphshsshh
倖	pshshnphhs
倗	pspzhhpzhh
倘	pssnpszszh
候	psszhphhpn
倚	pshpnhszhs
倛	pshsshhhpn
倜	pspzhshszh
倞	psnhszhspn
借	pshsshszhh
倠	pspsnhhhsh
倡	psszhhszhh
倢	pshzhhshpn
倥	psnnzpnhsh
倦	psnphhpnzz
倧	psnnzhhspn
倨	pszhphsszh
倩	pshhshszhh
倫	pspnhszhss
倬	psshszhhhs
倭	psphspnzph
倮	psszhhhspn
倯	pshspnpnzn
倰	pshshpnpzn
倳	pshszhzhhs
倴	pshpnhshps
倶	psszhhhhpn
倷	pshpnhhspn
债	pshhshszpn
倻	pshsshhhzs
值	pshsszhhhh
倽	pspnhhsszh
倾	pshzhpszpn
偃	pshszhhzphz
偆	pshhhpnszhh
假	pszhshhzhzn
偈	psszhhpzpnz
偋	pszhpnphhps
偌	pshsshpszh
偍	psszhhhshpn
偎	psszhshhzpn
偏	psnzhpszhss
偐	psnhnphpppp
偒	psszhhhpzpp
偓	pszhphznhsh
偔	psszhszhhhz
偕	pshzpzpszhh
偖	pshshpszhh
偘	psszhszhszh
偙	psnhnpnzszs
做	pshsszhphpn
偛	psphspshzhh
停	psnhszhnzhs
偞	pshsshzhspn
偟	pspszhhhhsh
偠	pshszsshzph
偡	pshsshhhpnz
偢	psphspnnppn
偣	psnhnphszhh
偤	psnphszpzhh
健	pszhhhhszn
偦	pszshpnszhh
偧	pshpnpznpzn
偩	pspzszhhhpn
偪	pshszhszhsh
偬	pspzppnnznn
偭	pshpszsshhh
偮	psszhhsshhh
偯	psnhszhpzpn
偰	pshhhszphpn
偱	pspphsszhhh
偲	psszhshnznn
偳	psszshpszss
側	psszhhhpnss
偵	psshszhhhpn
偶	psszhhszshn
偷	pspnhszhhss
偹	psspznszhsh
偻	psnphspnzph
偾	pshshssszpn
偿	pssnpnzhhzn
傀	pspszhhpzzn
傁	pspshzhhszn
傂	psppshzphzpz
傃	pshhshzznspn
傅	pshszhhsnhsn
傉	pshphhzpnhsn
傊	psszhszhhhpn
傋	pshhsshszshh
傍	psnhnpnznhzp
傎	pshsszhhhhpn
傏	psnhpzhhsszh
傐	psnhszhszszh
傑	pspznhzshspn
傓	psnzhpznhznh
傔	psnphzhhsspn
傕	psnzpsnhhhsh
傗	psnhzznszhsh
備	pshsshpszhhs
傛	psnnzpnpnszh
傜	pspnnpphhszs
傝	psszhhznhznh
傞	psnphhhphsh
傢	psnnzhpzpppn
傣	pshhhpnsnhpn
傥	pssnpnzszhpz
傦	psszznzszhh
傧	psnnzpshshpn
储	psnzhshpszhh
傩	psznpsnhhhsh
傪	psznznznpnppp
傫	psszhshzznspn
催	psszspsnhhhsh
傭	psnhpzhhszhhs
傮	pshszhsshszhh
傯	pspszpznhnznn
傰	psszspzhhpzhh
傲	pshhshzpphpn
傳	pshszhhshnhsn
傴	pshszhszhszhz
債	pshhshszhhhpn
傶	pshpshhspnzpn
傷	psphszhhhpzpp
傸	pshpnpnpnpnpn
傹	psnhnphszhhpz
傺	pspznnznhhspn
傻	pspszpnhpnpzn
傽	psnhnphszhhhs
傾	pshzhpszhhhpn
僅	pshsshszhhhsh
僆	pshszhhhsnzn
僇	psznhznhpnppp
僈	psszhhszsshzn
像	pspzszhpzpppn
僐	psnphhhsnphszh
僒	psnnzpnzhhpszh
僓	psszhshszhhhpn
僔	psnphszpzhhhsn
僕	psssnphnphhhpn
僖	pshshszhnphszh
僙	pshsshszhshpn
僚	pshpnnpszhhspn
僛	pshsshhhpnpzpn
僜	psznppnhszhnph
僝	pszhpzshzshzsh
僠	pspnphspnszhsh
僣	pshhpnhhpnszhh
僧	psnpszsnphszhh
僬	pspsnhhhshnnnn
僮	psnhnphszhhshh
僯	psnphspnpznhzs
僱	psnzhppsnhhhsh
僵	pshszhshhszhshh
僻	pszhpszhnhnphhs
儫	psnhszhnzhpzpppn
儬	pshhshszhhszhhhpz
儿	pz
兀	hpz
允	znpz
兂	hzpz
元	hhpz
兄	szhpz
充	nhznpz
兆	pnhzpn
兇	pnzspz
先	phshpz
光	snphpz
兊	pnznpz
克	hsszhpz
免	pzszhpz
兑	npszhpz
兔	pzszhpzn
兕	szszhpz
兖	nhpnznpz
兗	nhpnszhpz
兙	hsszhpzhs
党	snpnzszhpz
兛	hsszhpzphs
兜	pszhhpzzhpz
入	pn
內	szpn
全	pnhhsh
兩	hszspnpn
八	pn
公	pnzn
六	nhpn
兮	pnhz
兰	nphhh
共	hsshpn
关	nphhpn
兴	nnphpn
兵	pshshpn
其	hsshhhpn
具	szhhhhpn
典	szhsshpn
兹	nphzznzzn
养	nphhhpnps
兼	nphzhhsspn
兽	npszhshhszh
内	szpn
円	szsh
冈	szpn
冉	szshh
册	pzpzh
再	hszshh
冐	szhhszhh
冑	szhshszhh
冒	szhhszhhh
冓	hhsshszshh
冕	szhhpzszhpz
冗	nzpz
冘	nzpz
写	nzhzh
冚	nzszs
军	nzhzhs
农	nzpzpn
冝	nzszhhh
冠	nzhhpzhsn
冡	nzhhpzpppn
冢	nzhpzppnpn
冣	nzhsshhhzn
冤	nzpzszhpzn
冥	nzszhhnhpn
冦	nzhhpzshzn
冧	nzhspnhspn
冨	nzhszhszhsh
冪	nzhssszhhhpnszs
冬	pznnn
冮	nhhsh
冯	nhzzh
冰	nhszpn
冱	nhhzzh
冲	nhszhs
决	nhzhpn
冴	nhhzsp
况	nhszhpz
冶	nhznszh
冷	nhpnnzn
冸	nhnphhs
冹	nhhpznn
冺	nhzhzhz
冻	nhhzspn
冼	nhphshpz
冽	nhhpznss
冾	nhpnhszh
冿	nhzhhhhs
净	nhpzzhhs
凁	nhhszhspn
凂	nhpzszhpz
凃	nhpnhhspn
凄	nhhzhhszph
凅	nhszhsszhh
准	nhpsnhhhsh
凇	nhhspnpnzn
凈	nhpnnpzhhs
凉	nhnhszhspn
凊	nhhhshszhh
凋	nhpzhshszh
凌	nhhshpnpzn
减	nhhphszhzpn
凐	nhhszsshhsh
凑	nhhhhpnhhpn
凒	nhszshszhnph
凓	nhhszsshhspn
凕	nhnzszhhnhpn
凖	nhpsnhhhshhs
凗	nhszspsnhhhsh
凘	nhhsshhhpnpphs
凛	nhnhszszhhhhspn
凝	nhpzpsspnznzshpn
几	pz
凡	pzn
凤	pzzn
凥	zhppz
凫	pznzpz
凭	psphshpz
凯	szszhzpz
凰	pzpszhhhhsh
凳	znppnhszhnphpz
凶	pnzs
凸	shszh
凹	szszh
出	zsszs
击	hhszs
函	zsnhpnzs
凿	ssnphnphhszs
刀	zp
刁	zh
刃	zpn
刄	zpn
刅	zpnn
分	pnzp
切	hzzp
刉	phzss
刊	hhsss
刍	pzzhh
刎	pzppss
刑	hhpsss
划	hzpnss
列	hpznss
刘	nhpnss
则	szpnss
刚	szpnss
创	pnzzss
刜	zhzpsss
初	nzspnzp
刟	zpszhss
删	pzpzhss
判	nphhpss
別	szhzpss
刧	hshznzp
刨	pzzhzss
利	phspnss
刪	szsshss
别	szhzpss
刬	hhzpnss
刭	znhshss
刮	phsszhss
刯	hszhhhss
到	hznhshss
制	phhszsss
刷	zhpszsss
券	nphhpnzp
刹	pnhspnss
刺	hszspnss
刻	nhzppnss
刼	hshznzpn
刽	pnhhznss
剀	szszhzss
剁	pzhspnss
剈	szhszhhss
剉	pnpnhshss
削	snpszhhss
剋	hsszhpzss
剌	hszhspnss
前	nphszhhss
剎	pnhspnnss
剐	szhszpnss
剑	pnhnnphss
剔	szhhpzppss
剖	nhnphszhss
剜	nnzpznzzss
剥	zhhsnhpnss
剩	phsshhpzpnss
剪	nphszhhsszp
剬	szshpszssss
副	hszhszhshss
割	nnzhhhsszhss
劈	zhpszhnhnphhszp
力	zp
劝	znzp
办	zpnn
功	hshzp
加	zpszh
务	pznzp
劣	spnpzp
劤	pphszp
劥	nhpzzp
劦	zpzpzp
动	hhznzp
助	szhhhzp
努	zphznzp
劫	hshznzp
劭	zpszhzp
劮	phhpnzp
励	hphzpzp
劲	znhshzp
劳	hssnzzp
効	nhpnpnzp
劽	hpznsszp
劾	nhzppnzp
势	hshpznzp
勀	hsszhpzzp
勁	hzzzhshzp
勂	phshszhzp
勃	hsnzzshzp
勆	nzhhznzp
勇	znszhhszp
勉	pzszhpzzp
勊	hsszhpzzp
勋	szhszpnzp
勒	hsshszhhszp
勘	hsshhhpnzzp
募	hssszhhhpnzp
勠	znhznhpnpppzp
勺	pzn
勾	pzzn
勿	pzpp
匀	pznh
匃	pzpnz
包	pzzhz
匆	pzppn
匈	pzpnzs
匋	pzphhszs
匍	pzhszhhsn
匎	pzhpnszhhz
匐	pzhszhszhsh
匑	pzpszhhhpzhz
匕	pz
化	pspz
北	shhpz
匙	szhhhshpnpz
匛	hpznz
匝	hszsz
匠	hpphsz
匡	hhhshz
匢	hpzppz
匣	hszhhsz
匤	hhhshnz
匥	hznhpsz
匪	hshhhshhhz
匹	hpzz
区	hpnz
医	hphhpnz
匼	hpnhszhz
匽	hszhhzphz
匾	hnzhpszhssz
匿	hhsshpszhz
十	hs
卂	zhs
千	phs
卅	hpss
卆	pzhs
升	phps
午	phhs
卉	hshps
半	nphhs
卋	hshssh
华	pspzhs
协	hszpnn
卑	pszhhphs
卒	nhpnpnhs
卓	shszhhhs
单	npszhhhs
卖	hsznnhpn
南	hssznphhs
単	nnpszhhhs
卙	hsshhhpnzhs
博	hshszhhsnhsn
卜	sn
卞	nhsn
卟	szhsn
占	shszh
卡	shhsn
卢	shzhp
卣	shszzhh
卤	shszpnh
卦	hshhshsn
卧	hszhszsn
卨	shszzszszh
卫	zsh
卬	pzzs
卭	hshzs
卮	pphzz
卯	pzpzs
印	pzhzs
危	pzhpzz
卲	zpszhzs
即	zhhznzs
却	hshznzs
卵	pznpzsn
卷	nphhpnzz
卸	phhshshzs
卹	pszsshzs
卻	pnpnszhzs
卾	szhszhhhzzs
卿	pzpzhhznzs
厂	hp
厄	hpzz
厅	hphs
历	hpzp
厇	hpphz
厈	hphhs
厉	hphzp
压	hphshn
厌	hphpnn
厏	hpphshh
厐	hphpzpn
厒	hpphhszs
厓	hphshhsh
厔	hphznhsh
厕	hpszpnss
厖	hphpzpppn
厗	hpnhnphhs
厘	hpszhhshh
厙	hphszhhhs
厚	hpszhhzsh
厜	hpphshsshh
厝	hphsshszhh
厞	hpshhhshhh
原	hppszhhspn
厡	hppszhhszpn
厢	hphspnszhhh
